country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MY,Malaysia,,,,,,2/15/2020,-4,-3,0,-3,2,2
MY,Malaysia,,,,,,2/16/2020,-6,-4,0,-3,0,2
MY,Malaysia,,,,,,2/17/2020,-5,-3,-4,-6,2,2
MY,Malaysia,,,,,,2/18/2020,-8,-7,-8,-9,2,2
MY,Malaysia,,,,,,2/19/2020,-6,-4,-3,-7,2,2
MY,Malaysia,,,,,,2/20/2020,-2,-4,-2,-5,2,1
MY,Malaysia,,,,,,2/21/2020,-4,-5,-3,-3,5,2
MY,Malaysia,,,,,,2/22/2020,-4,-6,2,-1,2,1
MY,Malaysia,,,,,,2/23/2020,-6,-6,0,-1,0,1
MY,Malaysia,,,,,,2/24/2020,-4,-4,-5,-6,2,2
MY,Malaysia,,,,,,2/25/2020,-4,-4,-4,-8,3,1
MY,Malaysia,,,,,,2/26/2020,-4,-4,-4,-7,3,1
MY,Malaysia,,,,,,2/27/2020,-3,-3,-3,-4,3,1
MY,Malaysia,,,,,,2/28/2020,0,-1,-1,0,6,1
MY,Malaysia,,,,,,2/29/2020,3,1,6,3,2,0
MY,Malaysia,,,,,,3/1/2020,0,1,4,4,0,0
MY,Malaysia,,,,,,3/2/2020,-1,0,-4,-4,2,1
MY,Malaysia,,,,,,3/3/2020,-3,-2,-7,-8,3,1
MY,Malaysia,,,,,,3/4/2020,-2,1,-3,-7,2,2
MY,Malaysia,,,,,,3/5/2020,-3,-3,-7,-6,2,2
MY,Malaysia,,,,,,3/6/2020,-2,0,-4,-5,6,1
MY,Malaysia,,,,,,3/7/2020,-2,1,-2,-4,2,1
MY,Malaysia,,,,,,3/8/2020,-2,1,2,-1,1,1
MY,Malaysia,,,,,,3/9/2020,-3,0,-4,-7,2,1
MY,Malaysia,,,,,,3/10/2020,-5,-2,-7,-10,2,1
MY,Malaysia,,,,,,3/11/2020,-5,-1,-7,-10,2,2
MY,Malaysia,,,,,,3/12/2020,-6,-2,-6,-7,2,2
MY,Malaysia,,,,,,3/13/2020,-5,1,-5,-2,4,1
MY,Malaysia,,,,,,3/14/2020,-9,-1,0,-1,-3,2
MY,Malaysia,,,,,,3/15/2020,-10,-3,6,-2,-9,2
MY,Malaysia,,,,,,3/16/2020,-3,25,7,-4,-11,2
MY,Malaysia,,,,,,3/17/2020,-5,30,-5,3,-11,1
MY,Malaysia,,,,,,3/18/2020,-56,-14,-32,-36,-50,23
MY,Malaysia,,,,,,3/19/2020,-67,-24,-45,-58,-56,30
MY,Malaysia,,,,,,3/20/2020,-72,-30,-56,-71,-59,35
MY,Malaysia,,,,,,3/21/2020,-77,-39,-65,-75,-55,32
