country_code,country_name,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date2,CountryName,CountryCode,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal move,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healt,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDispla,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
MY,Malaysia,-4,-3,0,-3,2,2,15/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-6,-4,0,-3,0,2,16/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-5,-3,-4,-6,2,2,17/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-8,-7,-8,-9,2,2,18/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-6,-4,-3,-7,2,2,19/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-2,-4,-2,-5,2,1,20/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-4,-5,-3,-3,5,2,21/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-4,-6,2,-1,2,1,22/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-6,-6,0,-1,0,1,23/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
MY,Malaysia,-4,-4,-5,-6,2,2,24/02/2020,Malay,MYS,0,,0,,0,,0,,0,,0,,0,,3,0,,0,0,0,2,1,1,2,0,0,0,,,2,0,19.44,19.44,25,25,22.02,22.02,25.69,25.69,0,0
